"","bNTI.ted2RC95pct","Fungi.pct.tra","Habitat"
"1",0.857142857142857,0.000191820830705936,"Leaf"
"2",0.84375,0.000297442546413287,"Root"
"3",0.842105263157895,0.00023032953327571,"Leaf"
"4",0.84375,0.000230886031525028,"Leaf"
"5",0.807692307692308,0.000441481303729154,"Root"
"6",0.782608695652174,0.000449880901251771,"Root"
"7",0.869565217391304,0.000199085483717212,"Leaf"
"8",0.827586206896552,0.000267047738644167,"Leaf"
"9",0,0.000860583564145022,"Root"
"10",0.642857142857143,0.00063975313536525,"Root"
"11",0.842105263157895,0.000195188752101174,"Leaf"
"12",0.807692307692308,0.000201465359632771,"Leaf"
"13",0,0.00127284056302382,"Root"
"14",0.545454545454545,0.000688258916678311,"Root"
"15",0.854368932038835,0.000217177804142878,"Leaf"
"16",0.84375,0.00018147081918294,"Leaf"
"17",0,0.00148644104540256,"Root"
"18",0,0.000657513496885168,"Root"
"19",0.84375,0.000153509126622914,"Leaf"
"20",0.84375,0.000214556901776736,"Leaf"
"21",0,0.00192150545875045,"Root"
"22",0.642857142857143,0.000774391807179144,"Root"
"23",0,0.000499009710290281,"Leaf"
"24",0.782608695652174,0.000277532347732111,"Leaf"
"25",0,0.00275768020300926,"Root"
"26",0.375,0.0004768177200494,"Root"
"27",0,0.000422265641289166,"Leaf"
"28",0,0.000496889868642347,"Leaf"
"29",0.642857142857143,0.000374745447198917,"Leaf"
"30",0,0.00237159284392332,"Root"
"31",0,0.00229499555644023,"Root"
"32",0.827586206896552,0.000703655402734947,"Root"
"33",0,0.000812696144048966,"Leaf"
"34",0,0.000679710083955039,"Leaf"
"35",0,0.000290111278320051,"Leaf"
"36",0,0.000885372907422543,"Root"
"37",0,0.0015361978415295,"Root"
"38",0,0.00113150231415569,"Root"
"39",0,0.00135953215535194,"Leaf"
"40",0.705882352941177,0.00156779459832745,"Leaf"
"41",0,0.000385849333508837,"Leaf"
"42",0.642857142857143,0.00131277566850349,"Root"
"43",0,0.00241747175653161,"Root"
"44",0,0.0018900273295261,"Root"
"45",0,0.00209407126027672,"Leaf"
"46",0,0.0026666087912489,"Leaf"
"47",0,0.000881413787268311,"Leaf"
"48",0.375,0.00225043476287357,"Root"
"49",0,0.00309257335967177,"Root"
"50",0,0.00159110971033615,"Root"
"51",0,0.00286634520250169,"Leaf"
"52",0,0.00384177122851093,"Leaf"
"53",0,0.00111079700337962,"Leaf"
"54",0.642857142857143,0.00228582307661169,"Root"
"55",0,0.0156750404392797,"Root"
"56",0,0.00158886435940894,"Root"
"57",0,0.00427875544511915,"Leaf"
"58",0,0.00351503939441363,"Leaf"
"59",0,0.00101928080039782,"Leaf"
"60",0.545454545454545,0.00197006760986509,"Root"
"61",0,0.00831378888948271,"Root"
"62",0.375,0.00147054889968367,"Root"
"63",0,0.045216019888298,"Leaf"
"64",0,0.00934256876294659,"Leaf"
"65",0,0.00251983889667242,"Leaf"
"66",0.545454545454545,0.00401931376672841,"Root"
"67",0,0.0315138432890935,"Root"
"68",0,0.00912299582661817,"Root"
"69",0,0.0136637882422582,"Leaf"
"70",0,0.00462956514559615,"Leaf"
"71",0,0.00845904496279884,"Leaf"
"72",0,0.00777876480796367,"Leaf"
"73",0,0.00969713182968957,"Leaf"
"74",0,0.00378883527184236,"Leaf"
"75",0.705882352941177,0.00144132176799096,"Root"
"76",0,0.00599736946195095,"Root"
"77",0.545454545454545,0.00136067102890546,"Root"
